puzzleNum,puzzleMod10,puzzleMod5,logPuzzle,sqrtPuzzle,puzzleSquared,logRangeSize,yearSolved,monthSolved,prevSolvedCount,avgPositionPrev,positionInRange
1,1,1,0.6931471805599453,1.0,1,0.0,2015,1,0,50.0,0.0
2,2,2,1.0986122886681098,1.4142135623730951,4,0.6931471805599453,2015,1,1,0.0,50.0
3,3,3,1.3862943611198906,1.7320508075688772,9,1.3862943611198906,2015,1,2,25.0,75.0
4,4,4,1.6094379124341003,2.0,16,2.0794415416798357,2015,1,3,41.666666666666664,0.0
5,5,0,1.791759469228055,2.23606797749979,25,2.772588722239781,2015,1,4,31.25,31.25
6,6,1,1.9459101490553132,2.449489742783178,36,3.4657359027997265,2015,1,5,31.25,53.125
7,7,2,2.0794415416798357,2.6457513110645907,49,4.1588830833596715,2015,1,6,34.895833333333336,18.75
8,8,3,2.1972245773362196,2.8284271247461903,64,4.852030263919617,2015,1,7,32.589285714285715,75.0
9,9,4,2.302585092994046,3.0,81,5.545177444479562,2015,1,8,37.890625,82.421875
10,0,0,2.3978952727983707,3.1622776601683795,100,6.238324625039508,2015,1,9,42.838541666666664,0.390625
11,1,1,2.4849066497880004,3.3166247903554,121,6.931471805599453,2015,1,10,38.59375,12.79296875
12,2,2,2.5649493574615367,3.4641016151377544,144,7.6246189861593985,2015,1,11,36.24822443181818,31.005859375
13,3,3,2.6390573296152584,3.605551275463989,169,8.317766166719343,2015,1,12,35.811360677083336,27.34375
14,4,4,2.70805020110221,3.7416573867739413,196,9.010913347279288,2015,1,13,35.16000600961539,28.7109375
15,5,0,2.772588722239781,3.872983346207417,225,9.704060527839234,2015,1,14,34.69935825892857,63.983154296875
16,6,1,2.833213344056216,4.0,256,10.39720770839918,2015,1,15,36.651611328125,57.196044921875
17,7,2,2.8903717578961645,4.123105625617661,289,11.090354888959125,2015,1,16,37.935638427734375,46.21429443359375
18,8,3,2.9444389791664403,4.242640687119285,324,11.78350206951907,2015,1,17,38.422618192784924,51.572418212890625
19,9,4,2.995732273553991,4.358898943540674,361,12.476649250079015,2015,1,18,39.15316263834635,36.38877868652344
20,0,0,3.044522437723423,4.47213595499958,400,13.16979643063896,2015,1,19,39.00766874614515,64.6646499633789
21,1,1,3.091042453358316,4.58257569495584,441,13.862943611198906,2015,1,20,40.290517807006836,72.78327941894531
22,2,2,3.1354942159291497,4.69041575982343,484,14.556090791758852,2015,1,21,41.837792169480096,43.408918380737305
23,3,3,3.1780538303479458,4.795831523312719,529,15.249237972318797,2015,1,22,41.90920699726451,33.48584175109863
24,4,4,3.2188758248682006,4.898979485566356,576,15.942385152878742,2015,1,23,41.542973725692086,72.00322151184082
25,5,0,3.258096538021482,5.0,625,16.635532333438686,2015,1,24,42.812150716781616,97.80104756355286
26,6,1,3.295836866004329,5.0990195135927845,676,17.328679513998633,2015,1,25,45.011706590652466,62.538474798202515
27,7,2,3.332204510175204,5.196152422706632,729,18.021826694558577,2015,1,26,45.68581306017362,66.81841164827347
28,8,3,3.367295829986474,5.291502622129181,784,18.714973875118524,2015,1,27,46.468501896769915,69.60085034370422
29,9,4,3.4011973816621555,5.385164807134504,841,19.408121055678468,2015,1,28,47.29465719844614,49.27569553256035
30,0,0,3.4339872044851463,5.477225575051661,900,20.101268236238415,2015,1,29,47.362968865139734,92.44143441319466
31,1,1,3.4657359027997265,5.5677643628300215,961,20.79441541679836,2015,1,30,48.865584383408226,95.80019181594253
32,2,2,3.4965075614664802,5.656854249492381,1024,21.487562597358306,2015,1,31,50.37960397800611,44.051053281873465
33,3,3,3.5263605246161616,5.744562646538029,1089,22.18070977791825,2015,1,32,50.181836768751964,66.18142630904913
34,4,4,3.5553480614894135,5.830951894845301,1156,22.873856958478196,2015,1,33,50.66667281542764,64.53061435604468
35,5,0,3.58351893845611,5.916079783099616,1225,23.56700413903814,2015,1,34,51.07443580191637,17.072322126477957
36,6,1,3.6109179126442243,6.0,1296,24.260151319598087,2015,1,35,50.10294683976099,23.364647093694657
37,7,2,3.6375861597263857,6.082762530298219,1369,24.95329850015803,2015,1,36,49.36021629125915,45.88522112899227
38,8,3,3.6635616461296463,6.164414002968976,1444,25.646445680717978,2015,1,37,49.266297503089774,6.93586707348004
39,9,4,3.6888794541139363,6.244997998398398,1521,26.33959286127792,2015,1,38,48.15233880757373,17.77045763192291
40,0,0,3.713572066704308,6.324555320336759,1600,27.03274004183787,2015,1,39,47.37331621332627,82.56312850098766
41,1,1,3.7376696182833684,6.4031242374328485,1681,27.725887222397812,2015,1,40,48.253061520517804,32.62726544298857
42,2,2,3.7612001156935624,6.48074069840786,1764,28.419034402957756,2015,1,41,47.871944543017094,31.666390755663087
43,3,3,3.784189633918261,6.557438524302,1849,29.112181583517703,2015,1,42,47.48609802427057,68.47959722838368
44,4,4,3.8066624897703196,6.6332495807108,1936,29.805328764077647,2015,1,43,47.97431893599413,75.13186500162874
45,5,0,3.828641396489095,6.708203932499369,2025,30.498475944637594,2015,1,44,48.59153589203128,13.666732696611916
46,6,1,3.8501476017100584,6.782329983125268,2116,31.191623125197538,2015,1,45,47.8154291543553,46.112229085167655
47,7,2,3.871201010907891,6.855654600401044,2209,31.884770305757485,2015,9,46,47.77840306589469,70.05655069250736
48,8,3,3.8918202981106265,6.928203230275509,2304,32.57791748631743,2015,9,47,48.252406206886455,35.86072690006503
49,9,4,3.912023005428146,7.0,2401,33.27106466687737,2015,9,48,47.99424622132767,45.34823301649347
50,0,0,3.9318256327243257,7.0710678118654755,2500,33.96421184743732,2015,9,49,47.940245951841256,8.560360020207014
51,1,1,3.9512437185814275,7.14142842854285,2601,34.657359027997266,2017,4,50,47.15264823320857,82.85546544961626
52,2,2,3.970291913552122,7.211102550927978,2704,35.35050620855721,2017,4,51,47.85270347274598,87.25002169265093
53,3,3,3.9889840465642745,7.280109889280518,2809,36.04365338911715,2017,9,52,48.61034420774415,50.18395352846268
54,4,4,4.007333185232471,7.3484692283495345,2916,36.7368005696771,2017,11,53,48.640034949644495,10.738698705333894
55,5,0,4.02535169073515,7.416198487095663,3025,37.42994775023705,2018,5,54,47.93815835252763,66.78542153963616
56,6,1,4.04305126783455,7.483314773547883,3136,38.123094930796995,2018,9,55,48.28083586502051,22.73166453323929
57,7,2,4.060443010546419,7.54983443527075,3249,38.816242111356935,2018,11,56,47.82460066266727,91.85453074950023
58,8,3,4.07753744390572,7.615773105863909,3364,39.50938929191688,2018,12,57,48.59705557647136,38.76168823447197
59,9,4,4.0943445622221,7.681145747868608,3481,40.20253647247683,2019,2,58,48.42748027747137,82.17038442259546
60,0,0,4.110873864173311,7.745966692414834,3600,40.89568365303678,2019,2,59,48.99939390704974,96.89828764301733
61,1,1,4.127134385045092,7.810249675906654,3721,41.58883083359672,2019,5,60,49.797708802649204,23.667356096793156
62,2,2,4.143134726391533,7.874007874011811,3844,42.281978014156664,2019,9,61,49.369342364848286,69.498640058787
63,3,3,4.1588830833596715,7.937253933193772,3969,42.97512519471661,2019,7,62,49.69400845668601,95.00958897872268
64,4,4,4.174387269895637,8.0,4096,43.66827237527655,2022,9,63,50.41330338560722,92.98438018605643
65,5,0,4.189654742026425,8.06225774829855,4225,44.3614195558365,2019,6,64,51.078476460614255,65.71150545548306
66,6,1,4.204692619390966,8.12403840463596,4356,45.054566736396445,2024,9,65,51.30359998361223,25.62167438642828
67,7,2,4.219507705176107,8.18535277187245,4489,45.74771391695639,2025,2,66,50.91447989880642,79.78368306124277
68,8,3,4.23410650459726,8.246211251235321,4624,46.44086109751633,2025,4,67,51.34536352809651,49.00886122142066
69,9,4,4.248495242049359,8.306623862918075,4761,47.13400827807628,2025,4,68,51.311003200057165,0.7205156139362787
70,0,0,4.2626798770413155,8.366600265340756,4900,47.82715545863623,2019,6,69,50.57780772779454,64.398418043204
75,5,0,4.330733340286331,8.660254037844387,5625,51.292891361435956,2019,6,70,50.77524501801467,19.316889756160656
80,0,0,4.394449154672439,8.94427190999916,6400,54.75862726423568,2019,6,71,50.33216959179138,82.89294721848897
85,5,0,4.454347296253507,9.219544457292887,7225,58.224363167035406,2019,6,72,50.7844026143844,9.034376966231545
90,0,0,4.51085950651685,9.486832980505138,8100,61.690099069835135,2019,7,73,50.21248445482066,40.23493269008403
95,5,0,4.564348191467836,9.746794344808963,9025,65.15583497263486,2019,7,74,50.07765267421611,28.872517784561317
100,0,0,4.61512051684126,10.0,10000,68.62157087543459,2019,7,75,49.79491754235404,36.98115766805314
105,5,0,4.663439094112067,10.246950765959598,11025,72.0873067782343,2019,9,76,49.626315438744825,43.39139536794418
110,0,0,4.709530201312334,10.488088481701515,12100,75.55304268103404,2020,5,77,49.54534245081235,67.97900857488875
115,5,0,4.7535901911063645,10.723805294763608,13225,79.01877858383376,2020,6,78,49.781671503685125,51.49424275913058
120,0,0,4.795790545596741,10.954451150103322,14400,82.48451448663349,2023,2,79,49.80334962084266,38.327435738080936
125,5,0,4.836281906951478,11.180339887498949,15625,85.95025038943322,2023,7,80,49.65990069730814,77.03203399424014
130,0,0,4.875197323201151,11.40175425099138,16900,89.41598629223294,2024,9,81,49.997828268875196,62.199704166566846
